id,title,author,publisher,publication_year,category,isbn,quantity
6254,Записки изъ подполья,Фёдор Михайлович Достоевский,Vintage,1960    ,Fiction,978-0679723165,1
6255,Sons and Lovers,D. H. Lawrence,Penguin Classics,1913    ,Fiction,978-0141441450,20
6256,Madame Bovary,Gustave Flaubert,Penguin Classics,1856    ,Fiction,978-0140449129,5
6257,Anne of Windy Poplars,Lucy Maud Montgomery,Bantam,1900    ,Fiction,978-0553213164,2
6258,King Solomon's Mines,H. Rider Haggard,Penguin Classics,1880    ,Fiction,978-0141439525,13
6259,Ethan Frome,Edith Wharton,Penguin Classics,1910    ,Fiction,978-0140187335,19
6260,Persuasion,Jane Austen,Penguin Classics,1789    ,Fiction,978-0141439914,11
6261,A Murder Is Announced,Agatha Christie,William Morrow,1950    ,Fiction,978-0062073518,13
6262,War and Peace,Лев Толстой,Penguin Classics,1864    ,Fiction,978-0140447934,11
6263,The Hound of the Baskervilles,Arthur Conan Doyle,Penguin Classics,1900    ,Fiction,978-0141439082,5
6264,The Prophet,Kahlil Gibran,Knopf,1900    ,Fiction,978-0394404288,15
6265,Just So Stories,Rudyard Kipling,Puffin,1922    ,Fiction,978-0141322742,19
6266,La père Goriot,Honoré de Balzac,Penguin Classics,1800    ,Fiction,978-0140449723,2
6267,Sleeping Murder,Agatha Christie,William Morrow,1940    ,Fiction,978-0062073969,20
6268,Death in the Clouds,Agatha Christie,William Morrow,1935    ,Fiction,978-0062073921,19
6269,50 Fifty Shades of Grey,E. L. James,Vintage Books,2000    ,Fiction,978-1612130286,2
6270,Carmilla,Sheridan Le Fanu,Penguin Classics,1871    ,Fiction,978-0141441726,6
6271,The Power of Darkness,Edith Nesbit,Echo Library,2006    ,Fiction,978-1406830576,15
6272,The Phoenix and the Carpet,Edith Nesbit,Puffin,1903    ,Fiction,978-0140301335,13
6273,Dubliners,James Joyce,Penguin Classics,1914    ,Fiction,978-0142437179,19
6274,Murder in Three Acts,Agatha Christie,William Morrow,1934    ,Fiction,978-0062073754,8
6275,The Return of the Native,Thomas Hardy,Penguin Classics,1878    ,Fiction,978-0140435184,2
6276,The Moonstone,Wilkie Collins,Penguin Classics,1800    ,Fiction,978-0140435122,8
6277,The Turn of the Screw,Henry James,Penguin Classics,1898    ,Fiction,978-0141441351,10
6278,The Scarlet Letter,Nathaniel Hawthorne,Penguin Classics,1850    ,Fiction,978-0142437261,19
6279,Evil Under the Sun,Agatha Christie,William Morrow,1941    ,Fiction,978-0062073945,8
6280,Daddy-Long-Legs,Jean Webster,Puffin,1912    ,Fiction,978-0140374520,8
6281,Brave New World,Aldous Huxley,Harper Perennial,1932    ,Fiction,978-0060850524,8
6282,Elephants Can Remember,Agatha Christie,William Morrow,1969    ,Fiction,978-0062073723,16
6283,A Little Princess,Frances Hodgson Burnett,Puffin,1905    ,Fiction,978-0141321431,1
6284,Gulliver's Travels,Jonathan Swift,Penguin Classics,1726    ,Fiction,978-0141439495,12
6285,Tess of the d'Urbervilles,Thomas Hardy,Penguin Classics,1707    ,Fiction,978-0141439594,16
6286,Shirley,Charlotte Brontë,Penguin Classics,1800    ,Fiction,978-0140434316,5
6287,The Fellowship of the Ring,J.R.R. Tolkien,Mariner Books,1954    ,Fiction,978-0547928219,1
6288,Death on the Nile,Agatha Christie,William Morrow,1937    ,Fiction,978-0062073556,17
6289,The Moving Finger,Agatha Christie,William Morrow,1942    ,Fiction,978-0062073709,13
6290,Le avventure di Pinocchio,Carlo Collodi,Puffin Classics,1883    ,Fiction,978-0141331645,18
6291,Little House in the Big Woods,Laura Ingalls Wilder,HarperCollins,1932    ,Fiction,978-0064400022,11
6292,The Hitch Hiker's Guide to the Galaxy,Douglas Adams,Del Rey,1979    ,Fiction,978-0345391803,17
6293,The Book of Dragons,Edith Nesbit,Dover Publications,1973    ,Fiction,978-0486414317,2
6294,The World Set Free,H. G. Wells,Digireads,1914    ,Fiction,978-1420935585,10
6295,Carrie,Stephen King,Anchor,1974    ,Fiction,978-0307743664,3
6296,The Pilgrim's Progress,John Bunyan,Penguin Classics,1678    ,Fiction,978-0141439716,4
6297,The A.B.C. Murders,Agatha Christie,William Morrow,1936    ,Fiction,978-0062073525,19
6298,A Room of One's Own,Virginia Woolf,Harcourt,1929    ,Fiction,978-0156787338,3
6299,"The Lion, the Witch and the Wardrobe",C. S. Lewis,HarperCollins,1950    ,Fiction,978-0064404990,7
6300,Hong lou meng,"Tsʻao, Hsüeh-chʻin.",Penguin Classics,1900    ,Fiction,978-0140443189,17
6301,"Momo oder Die seltsame Geschichte von den Zeit-Dieben und von dem Kind, das den Menschen die gestohlene Zeit zurückbrachte",Michael Ende,McLehose Press,1973    ,Fiction,978-1912417254,6
6302,A Study in Scarlet,Arthur Conan Doyle,Penguin Classics,1887    ,Fiction,978-0141439075,2
6303,Идіотъ,Фёдор Михайлович Достоевский,Penguin Classics,1880    ,Fiction,978-0140447927,18
6304,The Kite Runner,Khaled Hosseini,Riverhead Books,2003    ,Fiction,978-1594631931,11
6305,The Tale of Peter Rabbit,Beatrix Potter,Warne,1920    ,Fiction,978-0723247708,2
6306,Beloved,Toni Morrison,Vintage,1987    ,Fiction,978-1400033416,4
6307,Eva Luna,Isabel Allende,Atria Books,1987    ,Fiction,978-0743416009,1
6308,The Lightning Thief,Rick Riordan,Disney-Hyperion,2005    ,Fiction,978-0786838653,10
6309,The Return of the King,J.R.R. Tolkien,Mariner Books,1950    ,Fiction,978-0547928196,11
6310,Die Verwandlung,Franz Kafka,W. W. Norton,1915    ,Fiction,978-0393923209,4
6311,The Silver Chair,C. S. Lewis,HarperCollins,1953    ,Fiction,978-0064405041,12
6312,James and the Giant Peach,Roald Dahl,Puffin,1961    ,Fiction,978-0142410363,1
6313,The Spy Who Came in from the Cold,John le Carré,Penguin Books,1602    ,Fiction,978-0143124757,5
6314,Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,Penguin Classics,1872    ,Fiction,978-0140449068,6
6315,Le fantôme de l'opéra,Gaston Leroux,Penguin Classics,1911    ,Fiction,978-0140449235,13
6316,The Two Towers,J.R.R. Tolkien,Mariner Books,1954    ,Fiction,978-0547928202,16
6317,It Can't Happen Here,Sinclair Lewis,Signet,1935    ,Fiction,978-0451465641,14
6318,Memoirs of Sherlock Holmes [11 stories],Arthur Conan Doyle,Penguin Classics,1893    ,Fiction,978-0141439051,15
6319,Little Women,Louisa May Alcott,Puffin,1848    ,Fiction,978-0147514011,19
6320,The Old Man and the Sea,Ernest Hemingway,Scribner,1952    ,Fiction,978-0684801223,17
6321,Отцы и дети,Ivan Sergeevich Turgenev,Penguin Classics,1867    ,Fiction,978-0140441475,3
6322,The Case-Book of Sherlock Holmes,Arthur Conan Doyle,Dover,1927    ,Fiction,978-0486431765,13
6323,Бѣсы,Фёдор Михайлович Достоевский,Penguin Classics,1871    ,Fiction,978-0140449518,18
6324,Hard Times,Charles Dickens,Penguin Classics,1854    ,Fiction,978-0141439679,16
6325,Great Expectations,Charles Dickens,Penguin Classics,1861    ,Fiction,978-0141439518,2
6326,The Twits,Roald Dahl,Puffin,1967    ,Fiction,978-0142410394,3
6327,Harry Potter and the Philosopher's Stone,J. K. Rowling,Scholastic,1900    ,Fiction,978-0439064873,20
6328,Le rouge et le noir,Stendhal,Penguin Classics,1830    ,Fiction,978-0140447644,8
6329,Fahrenheit 451,Ray Bradbury,Simon & Schuster,1953    ,Fiction,978-1451673319,7
6330,We're Going on a Bear Hunt,Michael Rosen,Little Simon,1746    ,Fiction,978-0689815812,16
6331,Fantastic Mr Fox,Roald Dahl,Puffin,1970    ,Fiction,978-0142410349,3
6332,The Godfather,Mario Puzo,Signet,1969    ,Fiction,978-0451205766,20
6333,The Catcher in the Rye,J. D. Salinger,"Little, Brown",1945    ,Fiction,978-0316769488,7
6334,Lord Jim,Joseph Conrad,Penguin Classics,1900    ,Fiction,978-0141441610,1
6335,And Then There Were None,Agatha Christie,William Morrow,1939    ,Fiction,978-0062073488,9
6336,The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,Penguin Classics,1892    ,Fiction,978-0141439518,3
6337,Jude the Obscure,Thomas Hardy,Penguin Classics,1895    ,Fiction,978-0140435382,11
6338,Charlie and the Chocolate Factory,Roald Dahl,Puffin,1964    ,Fiction,978-0142410318,2
6339,Poirot investigates,Agatha Christie,William Morrow,1924    ,Fiction,978-0062073983,10
6340,To Kill a Mockingbird,Harper Lee,Harper Perennial,1960    ,Fiction,978-0060935467,15
6341,"The Complete Sherlock Holmes [4 novels, 56 stories]",Arthur Conan Doyle,Bantam Classics,1900    ,Fiction,978-0553328257,20
6342,The Island of Dr. Moreau,H. G. Wells,Penguin Classics,1896    ,Fiction,978-0141441023,2
6343,The Murders in the Rue Morgue,Edgar Allan Poe,Penguin Classics,1841    ,Fiction,978-0140437546,19
6344,A Wonder Book for Girls and Boys,Nathaniel Hawthorne,Digireads,1851    ,Fiction,978-1420935530,16
6345,Harry Potter and the Chamber of Secrets,J. K. Rowling,Scholastic,1998    ,Fiction,978-0439785969,10
6346,The Big Sleep,Raymond Chandler,Vintage,1939    ,Fiction,978-0394758282,3
6347,Alice's Adventures in Wonderland,Lewis Carroll,Penguin Classics,1865    ,Fiction,978-0141439761,8
6348,Cyrano de Bergerac,Edmond Rostand,Signet,1821    ,Fiction,978-0451525413,15
6349,De la terre à la lune,Jules Verne,Digireads,1865    ,Fiction,978-1420935592,17
6350,Inferno,Dante Alighieri,Penguin Classics,1767    ,Fiction,978-0141197494,1
6351,The Thirty-Nine Steps,John Buchan,Penguin Classics,1915    ,Fiction,978-0141441177,17
6352,For Whom the Bell Tolls,Ernest Hemingway,Scribner,1940    ,Fiction,978-0684803357,5
6353,Winnie-the-Pooh,A. A. Milne,Puffin,1925    ,Fiction,978-0140361216,10
6354,Charlotte's Web,E. B. White,HarperCollins,1952    ,Fiction,978-0061124952,13
6355,Catch-22,Joseph Heller,Simon & Schuster,1961    ,Fiction,978-1451626650,10
6356,The Martian Chronicles,Ray Bradbury,Simon & Schuster,1950    ,Fiction,978-1451678192,16
6357,The BFG,Roald Dahl,Puffin,1980    ,Fiction,978-0142410387,17
6358,Lust for Life,Irving Stone,Plume,1934    ,Fiction,978-0452262492,15
6359,Charlie and the Great Glass Elevator,Roald Dahl,Puffin,1972    ,Fiction,978-0142410325,13
6360,The Daughter of Time,Josephine Tey,Scribner,1951    ,Fiction,978-0684803869,20
6361,The Body in the Library,Agatha Christie,William Morrow,1942    ,Fiction,978-0062073624,7
6362,Bambi,Felix Salten,Aladdin,1923    ,Fiction,978-1442467453,8
6363,Ἰλιάς,Όμηρος,Penguin Classics,1505    ,Fiction,978-0140445923,4
6364,Five Children and It,Edith Nesbit,Puffin,1905    ,Fiction,978-0140366679,3
6365,कामसूत्र,Vatsyāyana,Oxford Classics,1883    ,Fiction,978-0199539161,5
6366,Prince Caspian,C. S. Lewis,HarperCollins,1951    ,Fiction,978-0064405003,18
6367,El túnel,Ernesto Sabato,Penguin Classics,1948    ,Fiction,978-0141185255,8
6368,The most dangerous game,Richard Connell,Digireads,1990    ,Fiction,978-1420952025,2
6369,The Man Who Knew Too Much,Gilbert Keith Chesterton,Dover,1922    ,Fiction,978-0486431796,7
6370,Sonnenfinsternis,Arthur Koestler,Scribner,1940    ,Fiction,978-1501161315,9
6371,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,Scholastic,1999    ,Fiction,978-0439136365,7
6372,The Fall of the House of Usher,Edgar Allan Poe,Penguin Classics,1839    ,Fiction,978-0141439815,1
6373,Bridge to Terabithia,Katherine Paterson,HarperCollins,1972    ,Fiction,978-0064401845,3
6374,The Lord of the Rings,J.R.R. Tolkien,Mariner Books,1954    ,Fiction,978-0544003415,18
6375,The Red Badge of Courage,Stephen Crane,Penguin Classics,1855    ,Fiction,978-0140390445,9
6376,Harry Potter and the Goblet of Fire,J. K. Rowling,Scholastic,2000    ,Fiction,978-0439358071,17
6377,The princess and the goblin,George MacDonald,Puffin,1907    ,Fiction,978-0141332482,20
6378,Harry Potter and the Deathly Hallows,J. K. Rowling,Scholastic,2007    ,Fiction,978-0545010221,4
6379,Candide,Voltaire,Penguin Classics,1746    ,Fiction,978-0140440041,2
6380,Breakfast at Tiffany's,Truman Capote,Vintage,1956    ,Fiction,978-0679745655,1
6381,Perfume,Patrick Süskind,Vintage,1985    ,Fiction,978-0375725845,12
6382,Salomé,Oscar Wilde,Dover,1893    ,Fiction,978-0486218304,13
6383,A Clockwork Orange,Anthony Burgess,W. W. Norton,1962    ,Fiction,978-0393312836,4
6384,The Curious Incident of the Dog in the Night-Time,Mark Haddon,Vintage,2002    ,Fiction,978-1400032716,3
6385,Schachnovelle,Stefan Zweig,Alma Classics,1943    ,Fiction,978-1847496669,18
6386,The Razor's Edge,William Somerset Maugham,Vintage Classics,1944    ,Fiction,978-0099284857,15
6387,Harry Potter and the Order of the Phoenix,J. K. Rowling,Scholastic,2003    ,Fiction,978-0439139601,15
6388,Catching Fire,Suzanne Collins,Scholastic,2009    ,Fiction,978-0439023498,13
6389,Guess How Much I Love You,Sam McBratney,Candlewick,1994    ,Fiction,978-0763642648,14
6390,Northern Lights,Philip Pullman,Scholastic,1995    ,Fiction,978-0590660549,3
6391,Anne's House of Dreams,Lucy Maud Montgomery,Bantam,1917    ,Fiction,978-0553213188,10
6392,"Ramayana, a Holy Bible of India",Vālmīki,Penguin Classics,1823    ,Fiction,978-0143101635,7
6393,A Farewell to Arms,Ernest Hemingway,Scribner,1929    ,Fiction,978-0684801469,7
6394,Pedro Páramo,Juan Rulfo,Grove Press,1955    ,Fiction,978-0802133908,20
6395,King Lear,William Shakespeare,Folger Shakespeare,1608    ,Fiction,978-0743482769,8
6396,Lolita,Vladimir Nabokov,Vintage,1777    ,Fiction,978-0679723165,15
6397,Utopia,Thomas More,Penguin Classics,1518    ,Fiction,978-0140449105,5
6398,The Return of Sherlock Holmes,Arthur Conan Doyle,Penguin Classics,1903    ,Fiction,978-0141439471,18
6399,Abridgment of Murray's English Grammar,Lindley Murray,Nabu Press,1800    ,Fiction,978-1171449331,20
6400,The Lost Symbol,Dan Brown,Doubleday,2009    ,Fiction,978-0385504225,4
6401,The Night Before Christmas,Clement Clarke Moore,Little Golden Books,1857    ,Fiction,978-0375812026,19
6402,The Alhambra,Washington Irving,Digireads,1800    ,Fiction,978-1420934144,2
6403,Mémoires d'Hadrien,Marguerite Yourcenar,FSG Classics,1951    ,Fiction,978-0374529260,7
6404,The Da Vinci Code,Dan Brown,Anchor,2003    ,Fiction,978-0307474278,5
6405,Where the Wild Things Are,Maurice Sendak,HarperCollins,1963    ,Fiction,978-0060254926,18
6406,The Canterbury Tales,Geoffrey Chaucer,Penguin Classics,1478    ,Fiction,978-0140424386,18
6407,Il nome della rosa,Umberto Eco,Mariner Books,1980    ,Fiction,978-0544176560,2
6408,Ozma of Oz,L. Frank Baum,Dover Publications,1907    ,Fiction,978-0486259055,19
6409,Diary of a Wimpy Kid,Jeff Kinney,Amulet Books,2002    ,Fiction,978-0810993136,10
6410,Hamlet,William Shakespeare,Folger Shakespeare,1603    ,Fiction,978-0743477123,7
6411,The Book Thief,Markus Zusak,Knopf,1998    ,Fiction,978-0375842207,4
6412,The Voyage of the Dawn Treader,C. S. Lewis,HarperCollins,1952    ,Fiction,978-0064405027,10
6413,Meditations,Marcus Aurelius,Penguin Classics,1626    ,Fiction,978-0140449334,5
6414,Angels & Demons,Dan Brown,Anchor,2000    ,Fiction,978-0307474261,20
6415,Harry Potter and the Half-Blood Prince,J. K. Rowling,Scholastic,2005    ,Fiction,978-0590353427,8
6416,'Salem’s Lot,Stephen King,Anchor,1975    ,Fiction,978-0307743671,20
6417,East of Eden,John Steinbeck,Penguin Books,1952    ,Fiction,978-0142000663,11
6418,In Cold Blood,Truman Capote,Vintage,1965    ,Fiction,978-0679745587,2
6419,Gone With the Wind,Margaret Mitchell,Scribner,1936    ,Fiction,978-1451635621,13
6420,A Game of Thrones,George R. R. Martin,Bantam,1996    ,Fiction,978-0553593716,19
6421,Down and Out in Paris and London,George Orwell,Mariner Books,1933    ,Fiction,978-0156262248,5
6422,Age of fable,Thomas Bulfinch,Signet,1800    ,Fiction,978-0451532053,3
6423,Macbeth,William Shakespeare,Folger Shakespeare,1508    ,Fiction,978-0743477109,9
6424,"Works [37 plays, 6 poems, sonnets]",William Shakespeare,Cambridge Univ.,1730    ,Fiction,978-1107619449,20
6425,Tarzan of the Apes,Edgar Rice Burroughs,Penguin Classics,1912    ,Fiction,978-0140184648,15
6426,Life of Pi,Yann Martel,Mariner Books,2000    ,Fiction,978-0156027328,7
6427,Little House on the Prairie,Laura Ingalls Wilder,HarperCollins,1935    ,Fiction,978-0064400015,16
6428,Much Ado About Nothing,William Shakespeare,Folger Shakespeare,1600    ,Fiction,978-0743482752,20
6429,Les Contes de ma mère l'Oye,Charles Perrault,Penguin Classics,1675    ,Fiction,978-0140442328,4
6430,A Wrinkle in Time,Madeleine L'Engle,Square Fish,1962    ,Fiction,978-0312367541,19
6431,Hans Andersen's Fairy Tales,Hans Christian Andersen,Puffin Classics,1846    ,Fiction,978-0141329017,18
6432,Ὀδύσσεια,Όμηρος,Penguin Classics,1488    ,Fiction,978-0140268867,1
6433,Twelfth Night,William Shakespeare,Folger Shakespeare,1734    ,Fiction,978-0743482776,2
6434,The Very Hungry Caterpillar,Eric Carle,Philomel Books,1969    ,Fiction,978-0399226908,2
6435,Julius Caesar,William Shakespeare,Folger Shakespeare,1656    ,Fiction,978-0743482745,9
6436,The Subtle Knife,Philip Pullman,Knopf,1997    ,Fiction,978-0375823466,1
6437,American notes,Charles Dickens,Penguin Classics,1800    ,Fiction,978-0140436495,11
6438,The Tempest,William Shakespeare,Folger Shakespeare,1611    ,Fiction,978-0743482837,5
6439,The book of the damned,Charles Fort,Wordsworth,1919    ,Fiction,978-1840224214,12
6440,The golden bough,James George Frazer,Harper Perennial,1890    ,Fiction,978-0061582486,1
6441,Gitanjali (song offerings),Rabindranath Tagore,CreateSpace,1910    ,Fiction,978-1503046771,15
6442,Romeo and Juliet,William Shakespeare,Folger Shakespeare,1597    ,Fiction,978-0743477116,9
6443,Les confessions,Jean-Jacques Rousseau,Penguin Classics,1782    ,Fiction,978-0140440331,19
6444,Heinemann Mathematics,Scottish Primary Mathematics Group,Heinemann,1983    ,Fiction,978-0858592650,9
6445,La Divina Commedia,Dante Alighieri,Penguin Classics,1472    ,Fiction,978-0140448955,11
6446,Life on the Mississippi,Mark Twain,Penguin Classics,1883    ,Fiction,978-0140430622,17
6447,The Color Purple,Alice Walker,Mariner Books,1976    ,Fiction,978-0156028356,17
6448,Misery,Stephen King,Pocket Books,1978    ,Fiction,978-1501156748,8
6449,Metamorphoses,Ovid,Penguin Classics,1479    ,Fiction,978-0140447897,11
6450,Essais,"Montaigne, Michel de",Penguin Classics,1600    ,Fiction,978-0140446043,18
6451,The Merchant of Venice,William Shakespeare,Folger Shakespeare,1600    ,Fiction,978-0743477567,20
6452,Leaves of Grass,Walt Whitman,Penguin Classics,1855    ,Fiction,978-0140421996,4
6453,Faerie queene,Edmund Spenser,Penguin Classics,1590    ,Fiction,978-0140422078,6
6454,Essays,Francis Bacon,Penguin Classics,1618    ,Fiction,978-0140432169,13
6455,All's Well That Ends Well,William Shakespeare,Folger Shakespeare,1734    ,Fiction,978-0743484961,20
6456,John Donne Poetry,John Donne,W. W. Norton,1633    ,Fiction,978-0393926484,3
6457,Walden,Henry David Thoreau,Penguin Classics,1854    ,Fiction,978-0140390445,13
6458,Plays (36),William Shakespeare,W. W. Norton,1623    ,Fiction,978-0393926309,5
6459,Ἀπολογία Σωκράτους,Πλάτων,Penguin Classics,1675    ,Fiction,978-0140449273,20
6460,King Henry V,William Shakespeare,Folger Shakespeare,1600    ,Fiction,978-0743485043,15
